N,E,D
-0.283530,-0.124938,-0.015163
-0.272394,-0.121353,-0.016376
-0.266781,-0.119479,-0.016964
-0.261139,-0.117554,-0.017540
-0.249768,-0.113549,-0.018655
-0.232509,-0.107171,-0.020233
-0.226704,-0.104950,-0.020734
-0.209143,-0.098013,-0.022160
-0.179424,-0.085607,-0.024280
-0.173419,-0.083009,-0.024665
-0.161352,-0.077704,-0.025395
-0.155291,-0.075000,-0.025741
-0.143120,-0.069494,-0.026392
-0.130886,-0.063867,-0.026990
-0.112429,-0.055219,-0.027786
-0.106251,-0.052286,-0.028024
-0.093861,-0.046353,-0.028461
-0.081429,-0.040338,-0.028843
-0.062717,-0.031187,-0.029315
-0.056465,-0.028107,-0.029445
-0.050207,-0.025015,-0.029562
-0.043943,-0.021912,-0.029664
-0.025125,-0.012552,-0.029890
-0.018846,-0.009419,-0.029938
-0.012565,-0.006281,-0.029973
-0.006283,-0.003141,-0.029993
